character,dialogue
LUKE,That's it!  We did it!
LEIA,We did it!
THREEPIO,Help!  I think I'm melting!This is all your fault.
TARKIN,Are they away?
VADER,They have just made the jump into hyperspace.
TARKIN,"You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work."
HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
HAN,Easy... you call that easy?
LEIA,Their tracking us!
HAN,"Not this ship, sister."
LEIA,At least the information in Artoo is still intact.
HAN,What's so important?  What's he carrying?
LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
HAN,"It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
LEIA,"You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.
LUKE,I care!
LUKE,"So... what do you think of her, Han?"
HAN,"I'm trying not to, kid!"
LUKE,Good...
HAN,"Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me..."
LUKE,No!
WILLARD,You're safe!  We had feared the worst.
WILLARD,"When we heard about Alderaan, we were afraid that you were... lost along with your father."
LEIA,"We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope."
TARKIN,Yes.
DEATH STAR INTERCOM VOICE,We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet.
DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense.
GOLD LEADER,"Pardon me for asking, sir, but what good are snub fighters going to be against that?"
