character,dialogue
LUKE,What happened?
BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you! "
BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.
LUKE,I think my uncle knew him.  He said he was dead.
BEN,"Oh, he's not dead, no... not yet."
LUKE,You know him!
BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
LUKE,Then the droid does belong to you.
BEN,Don't seem to remember ever owning a droid.  Very interesting... 
BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.
LUKE,... Threepio!
THREEPIO,Where am I?  I must have taken a bad step...
LUKE,Can you stand?  We've got to get out of here before the Sand People return.
THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
LUKE,"No, you're not.  What kind of talk is that?"
BEN,"Quickly, son... they're on the move."
LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.
LUKE,You fought in the Clone Wars?
BEN,"Yes, I was once a Jedi Knight the same as your father."
LUKE,I wish I'd known him.
BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me..."
BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. "
THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile."
LUKE,"Sure, go ahead."
LUKE,What is it?
BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.
