character,dialogue
HAN,Now let's blow this thing and go home!
INTERCOM VOICE,Stand by to fire at Rebel base.
INTERCOM VOICE,Standing by.
HAN,"Great shot, kid.  That was one in a million."
BEN,"Remember, the Force will be with you... always."
LEIA,Luke!  Luke!  Luke!
HAN,Hey!  Hey!
LUKE,I knew you'd come back!  I just knew it!
HAN,"Well, I wasn't gonna let you get all the credit and take all the reward."
LEIA,"Hey, I knew there was more to you than money."
LUKE,"Oh, no!"
THREEPIO,"Oh, my!  Artoo!  Can you hear me?  Say something!You can repair him, can't you?"
TECHNICIAN,We'll get to work on him right away.
THREEPIO,"You must repair him!  Sir, if any of my circuits or gears will help, I'll gladly donate them."
LUKE,He'll be all right.
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
